"",gene_symbol,GSM1275862,GSM1275863,GSM1275864,GSM1275865,GSM1275866,GSM1275867,GSM1275868,GSM1275869,GSM1275870,GSM1275871,GSM1275872,GSM1275873,GSM1275874,GSM1275875,GSM1275876,GSM1275877
ENSG00000140993,TIGD7,54.3172,84.0133,40.7566,89.3146,72.5589,57.5453,118.016,83.0236,64.9546,83.201,90.7824,66.4704,69.6333,80.561,56.1701,125.0101
ENSG00000140995,DEF8,940.6048,1047.2518,1073.9294,1004.4965,1226.7845,658.9672,1698.698,833.8231,1027.9324,1592.5412,1288.5464,954.5346,732.3141,1021.415,972.6052,1228.6026
ENSG00000141002,TCF25,2849.1732,2409.3903,3298.404,2439.6216,2896.5396,1483.0077,3487.9625,2306.7601,2931.3496,3054.6922,2972.5416,2384.8695,2180.1803,2218.4969,3273.2552,2847.5814
ENSG00000141012,GALNS,641.0585,630.7593,659.3665,681.3229,598.7289,370.0147,847.8069,636.6927,863.7382,1070.6707,979.5836,698.5335,460.4172,566.7707,727.1112,794.6522
ENSG00000141013,GAS8,194.5994,215.6003,189.402,181.08,346.0026,125.9073,303.0697,274.9029,256.5753,411.4703,302.6402,195.9423,231.2768,178.5437,323.5608,300.1169
ENSG00000141026,MED9,258.1516,193.3768,256.2619,205.1653,316.1179,145.6361,331.2605,272.1658,307.4795,319.7582,289.6789,247.2775,261.6782,253.6339,353.1128,318.3541
ENSG00000141027,NCOR1,2586.9057,2648.3315,2978.1577,2782.4808,2875.2924,1575.4744,4376.06,2568.2316,3766.9745,4923.0301,3723.4903,2718.4037,2665.6238,2746.8983,3092.6711,3698.0592
ENSG00000141030,COPS3,741.482,601.9632,736.9332,576.6107,801.5124,366.5716,981.2888,632.9832,817.2418,777.446,703.1204,624.7287,600.339,562.2546,834.0229,627.2757
ENSG00000141034,GID4,481.2976,460.5447,483.901,509.9641,511.4834,424.3846,874.9467,497.5094,598.1728,727.0424,642.4349,463.7048,430.8048,580.0418,690.3785,718.2089
ENSG00000141040,ZNF287,188.9478,143.4491,198.7754,170.1543,185.8697,113.4898,249.9085,184.0603,162.4491,168.5302,180.0139,152.9071,167.2139,143.0254,188.2253,205.6738
ENSG00000141052,MYOCD,60.9809,125.2632,79.0635,185.6563,75.5826,103.1751,199.0384,86.0069,197.3636,106.8124,58.8798,175.3025,170.2288,203.5587,168.8699,393.2916
ENSG00000141068,KSR1,587.7849,475.0308,489.8316,304.6303,524.3066,128.4336,471.0606,448.2094,1149.5816,976.6323,837.4285,715.9215,402.1358,216.302,527.4029,308.1718
ENSG00000141076,UTP4,455.6997,395.8176,424.0531,407.7412,472.8414,247.3631,675.2057,438.0485,559.7963,704.8695,647.643,437.8742,421.1046,360.5901,549.8157,607.4363
ENSG00000141084,RANBP10,534.177,461.8528,545.5963,447.7521,695.4239,331.9616,843.046,537.5534,643.093,833.6139,675.2051,455.6457,481.6801,523.4455,636.3604,672.3253
ENSG00000141086,CTRL,0.0411,2.8965,2.9486,1.9009,1.8686,0,1.4329,0,1.4138,0,1.7583,0,0,3.8331,0,0.7203
ENSG00000141096,DPEP3,0,0,0,0,0,0,2.571,0,0,0,0,0,0.8695,0,0,0
ENSG00000141098,GFOD2,376.9775,214.8548,355.3995,249.4324,323.0709,183.4711,523.0578,264.0284,344.0344,394.2906,288.2911,319.9765,338.2302,252.4428,392.7989,316.7089
ENSG00000141101,NOB1,708.4154,590.4671,749.2429,569.9213,781.6099,418.6406,856.6928,691.0718,935.6798,916.7348,923.5236,703.6246,614.5496,660.1258,890.6397,813.8375
ENSG00000141127,PRPSAP2,223.2217,153.8216,229.3044,154.514,222.3977,58.0463,210.0926,186.4768,245.7432,195.0052,195.6035,168.789,218.2336,155.346,249.0173,266.2005
ENSG00000141161,UNC45B,0,0,0,1.0098,0.9848,0,1.0082,2.0067,1.9521,0.9863,0,2.0035,1.9992,0,1.0731,0
ENSG00000141179,PCTP,205.1785,239.0667,181.608,277.9451,243.3129,176.0203,310.7379,194.063,269.0652,299.8669,311.4846,196.5781,138.6922,156.3018,195.6631,278.9818
ENSG00000141194,OR4D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
